,Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days,Boat Type - 1st,Boat Type - 2nd,Boat Type - 3rd,Condition,Engine,Price Group,Age Group,PV Group,Age
0,3453,Motor Yacht,Rigiflex power boats,new boat from stock,2017,4.0,1.9,unspecified,Switzerland,226,Motor Yacht,,,new boat from stock,,Lower_50K,0-5 years,Good,5
1,3490,Center console boat,Terhi power boats,new boat from stock,2020,4.0,1.5,Thermoplastic,Germany,75,Center console boat,,,new boat from stock,,Lower_50K,0-5 years,Medium,2
2,3901,Sport Boat,Marine power boats,new boat from stock,0,3.69,1.42,Aluminium,Switzerland,124,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,0
3,3481,Sport Boat,Pioner power boats,new boat from stock,2020,3.0,1.0,unspecified,Denmark,64,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Low,2
4,3399,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany,58,Fishing Boat,,,new boat from stock,,Lower_50K,0-5 years,Low,3
5,3776,Sport Boat,Linder power boats,new boat from stock,0,4.03,1.56,Aluminium,Switzerland,132,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,0
6,3725,Catamaran,unspecified,"Used boat,Unleaded",1999,6.2,2.38,Aluminium,Switzerland,474,Catamaran,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,23
7,3333,Sport Boat,unspecified,Used boat,0,3.0,3.5201240846216435,unspecified,Denmark,134,Sport Boat,,,Used boat,,Lower_50K,0-5 years,More than avergae,0
8,3333,Fishing Boat,Crescent power boats,new boat from stock,2019,3.64,1.37,unspecified,Germany,45,Fishing Boat,,,new boat from stock,,Lower_50K,0-5 years,Low,3
9,3300,Pontoon Boat,Whaly power boats,new boat from stock,2018,4.35,1.73,unspecified,Italy,180,Pontoon Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,4
10,3621,Fishing Boat,Terhi power boats,"Used boat,Electric",1987,4.35,1.75,GRP,Switzerland,239,Fishing Boat,,,Used boat,Electric,Lower_50K,31-50 years,Good,35
11,3600,Fishing Boat,Marine power boats,new boat from stock,0,4.13,1.41,Aluminium,Switzerland,145,Fishing Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,0
12,3500,Sport Boat,GS Nautica power boats,Used boat,2004,4.7,2.0,GRP,Italy,69,Sport Boat,,,Used boat,,Lower_50K,16-30 years,Low,18
13,4759,Runabout,Kimple power boats,new boat from stock,2020,4.4,1.65,Aluminium,Switzerland,113,Runabout,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,2
14,4656,Fishing Boat,Italmarine power boats,"Used boat,Unleaded",1997,3.72,1.33,Aluminium,Switzerland,413,Fishing Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,25
15,4552,Deck Boat,Buster power boats,"new boat from stock,Unleaded",0,3.88,1.49,Aluminium,Switzerland,263,Deck Boat,,,new boat from stock,Unleaded,Lower_50K,0-5 years,Good,0
16,4532,Sport Boat,Linder power boats,new boat from stock,0,4.31,1.64,Aluminium,Switzerland,462,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,0
17,4032,Sport Boat,unspecified,Used boat,1985,4.0,1.0,unspecified,Denmark,124,Sport Boat,,,Used boat,,Lower_50K,31-50 years,More than avergae,37
18,4000,Pilothouse,BÃ©nÃ©teau power boats,"Used boat,Diesel",1981,8.0,2.84,PVC,France,265,Pilothouse,,,Used boat,Diesel,Lower_50K,31-50 years,Good,41
19,4000,Cabin Boat,unspecified,"Used boat,Unleaded",2011,6.37,2.31,GRP,Germany,330,Cabin Boat,,,Used boat,Unleaded,Lower_50K,6-15 years,Good,11
20,3999,Fishing Boat,Linder power boats,new boat from stock,2019,3.55,1.46,Aluminium,Germany,69,Fishing Boat,,,new boat from stock,,Lower_50K,0-5 years,Low,3
21,4415,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",0,3.78,1.71,GRP,Switzerland,198,Fishing Boat,,,new boat from stock,Unleaded,Lower_50K,0-5 years,Good,0
22,3930,Sport Boat,Linder power boats,"new boat from stock,Unleaded",2020,4.31,1.64,Aluminium,Germany,90,Sport Boat,,,new boat from stock,Unleaded,Lower_50K,0-5 years,Medium,2
23,3900,Sport Boat,Kammin power boats,"Used boat,Unleaded",1979,5.6,2.1,GRP,Germany,98,Sport Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Medium,43
24,3900,Cabin Boat,unspecified,Used boat,1985,6.53,2.47,unspecified,France,383,Cabin Boat,,,Used boat,,Lower_50K,31-50 years,Good,37
25,4346,Fishing Boat,Bucher power boats,"Used boat,Unleaded",1998,5.7,1.55,GRP,Switzerland,160,Fishing Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,More than avergae,24
26,4346,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",0,4.0,1.5,GRP,Switzerland,295,Fishing Boat,,,Used boat,Unleaded,Lower_50K,0-5 years,Good,0
27,4170,Fishing Boat,Linder power boats,new boat from stock,2018,3.55,1.46,Aluminium,Switzerland,130,Fishing Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,4
28,4139,Fishing Boat,unspecified,"Used boat,Unleaded",1994,5.6,1.58,GRP,Switzerland,641,Fishing Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,28
29,4113,Fishing Boat,Terhi power boats,new boat from stock,2020,4.01,1.5,Thermoplastic,Switzerland,512,Fishing Boat,,,new boat from stock,,Lower_50K,0-5 years,Good,2
30,4087,Sport Boat,MÃ¤ndli power boats,Used boat,1996,4.84,1.58,GRP,Switzerland,202,Sport Boat,,,Used boat,,Lower_50K,16-30 years,Good,26
31,4035,Sport Boat,unspecified,"Used boat,Unleaded",1972,5.05,1.9,GRP,Switzerland,423,Sport Boat,,,Used boat,Unleaded,Lower_50K,31-50 years,Good,50
32,4025,Sport Boat,Pioner power boats,new boat on order,0,3.81,1.65,unspecified,Switzerland,105,Sport Boat,,,new boat on order,,Lower_50K,0-5 years,Medium,0
33,3983,Sport Boat,Linder power boats,new boat from stock,0,3.55,1.46,Aluminium,Switzerland,120,Sport Boat,,,new boat from stock,,Lower_50K,0-5 years,More than avergae,0
34,3932,Fishing Boat,Quicksilver (Brunswick Marine) power boats,"Used boat,Unleaded",1996,4.41,1.71,Aluminium,Switzerland,255,Fishing Boat,,,Used boat,Unleaded,Lower_50K,16-30 years,Good,26
